"","","",
"","14:59 Vehicle Stored ","2101030157 ",
"","Officer initiated activity at Sharp Park Rd/Lundy Wy, Pacifica. . Disposition: Report Taken. ","",
"","15:29 Suspicious Person ","2101030161 ",
"","Occurred at Norfolk Dr/Monterey Rd. . Disposition: Gone On Arrival. ","",
"","15:42 Citizen Assist ","2101030166 ",
"","Occurred on Lewis Ln. . Disposition: Log Note Only. ","",
"","15:57 Dist Others ","2101030172 ",
"","Occurred on Lewis Ln. . Disposition: Cover Unit. ","",
"","16:01 Citizen Assist ","2101030173 ",
"","Occurred on Winwood Av. . Disposition: Log Note Only. ","",
"","16:13 Traffic Law Abandoned ","2101030175 ",
"","Occurred on Monterey Rd. Disposition: Vehicle Marked . ","",
"","16:20 Disorderly Conduct ","2101030176 ",
"","Occurred at Reichling Av/Reina Del Mar Av. Disposition: Cover Unit. ","",
"","16:47 Suspicious Vehicle ","2101030180 ",
"","Occurred on Palmetto Av. Disposition: Log Note Only. ","",
"","17:22 Susp Circ 911 ","2101030194 ",
"","Occurred at Wireless on Esplanade Av. Disposition: Not Dispatched. ","",
"","17:23 Suspicious Circumstances ","2101030196 ",
"","Occurred at Linda Mar Center. Disposition: Gone On Arrival. ","",
"","17:46 Traffic Law Abandoned ","2101030204 ",
"","Occurred on Berendos Av. Disposition: Gone On Arrival. ","",
"","17:53 Muni Code Violation - RV ","2101030206 ",
"","Occurred at Old County Rd/Rockaway Beach Av. . Disposition: Log Note Only. ","",
"","18:08 Citizen Assist ","2101030208 ",
"","Occurred on Fassler Av. Disposition: Log Note Only. ","",
"","18:10 Dist Juveniles ","2101030209 ",
"","Occurred on Reina Del Mar Av. Disposition: Cover Unit. ","",
"","18:42 Suspicious Person ","2101030215 ",
"","Occurred on Lewis Ln. Disposition: Gone On Arrival. ","",
"","19:06 School Check ","2101030220 ",
"","Officer initiated activity at Ingrid B Lacy Middle School, Palmetto Av, Pacifica. . Disposition: Checks ","Ok. ",
"","20:05 Fireworks ","2101030233 ",
"","Occurred on Fremont Av. Disposition: Gone On Arrival. ","",
"","20:19 Suspicious Circumstances ","2101030236 ",
"","Occurred at Claridge Dr/Lockhaven Dr. Disposition: Gone On Arrival. ","",
"","20:22 Citizen Assist ","2101030237 ",
"","Occurred on Skyline Bl. Disposition: Log Note Only. ","",
"","20:28 Vehicle Recovered ","2101030239 ",
"","Occurred at Sb on Cabrillo Hwy/Rockaway Beach Av. Disposition: Report Taken. ","",
"","20:57 School Check ","2101030245 ",
"","Officer initiated activity at Ocean Shore Elementary School, Oceana Bl, Pacifica. . Disposition: Checks ","Ok. ",
"","22:45 School Check ","2101030268 ",
"","Officer initiated activity at Sunset Ridge Elementary School, Inverness Dr, Pacifica. . Disposition: ","Checks Ok. ",
"","23:53 School Check ","2101030279 ",
"","Officer initiated activity at Ingrid B Lacy Middle School, Palmetto Av, Pacifica. . Disposition: Checks ","Ok. ",
"","","",
